Date,Close/Last,Volume,Open,High,Low
10/18/2021,$52.87,3698126,$52.98,$53.36,$52.7
10/15/2021,$53.28,7205880,$55.24,$55.35,$52.58
10/14/2021,$55.81,2271736,$55.69,$55.995,$54.92
10/13/2021,$55.28,3041187,$55.43,$56.569,$54.06
10/12/2021,$55.74,1938604,$55.49,$56.43,$55.16
10/11/2021,$55.75,2307475,$54.75,$56.15,$54.7
10/08/2021,$54.39,2437498,$54.05,$54.69,$54.05
10/07/2021,$54.26,1505262,$54.465,$54.82,$54.19
10/06/2021,$54.03,1889873,$54.01,$54.42,$53.1
10/05/2021,$54.34,2075747,$53.89,$54.68,$53.42
10/04/2021,$53.83,3177277,$53.01,$54.11,$53.01
10/01/2021,$53.26,2733037,$53.3,$53.675,$52.44
09/30/2021,$53.3,2885180,$54.7678,$54.7964,$53.2428
09/29/2021,$54.4819,1869398,$54.3485,$54.8346,$54.0539
09/28/2021,$54.3485,1660028,$54.9394,$55.1491,$54.277
09/27/2021,$54.6439,1778384,$54.1388,$55.03,$54.1388
09/24/2021,$54.3008,1736159,$54.4247,$54.9966,$54.1483
09/23/2021,$54.4247,1733457,$53.9386,$54.9537,$53.8147
09/22/2021,$53.5002,2169021,$53.1284,$53.9577,$53.0491
09/21/2021,$52.6328,1786620,$53.5097,$53.5669,$52.4708
09/20/2021,$53.2619,2666259,$52.9092,$53.3286,$52.2325
09/17/2021,$53.9481,4572250,$54.9775,$55.1586,$53.6813
09/16/2021,$55.1491,2059317,$55.4446,$55.6078,$55.13
09/15/2021,$55.2254,2290822,$54.9585,$55.416,$54.8155
09/14/2021,$55.0443,2023165,$55.9212,$56.0069,$54.9489
09/13/2021,$55.8544,2049141,$56.0165,$56.3596,$55.6066
09/10/2021,$55.6162,1641957,$56.1404,$56.6004,$55.6019
09/09/2021,$55.8354,1507208,$55.6162,$56.3214,$55.5352
09/08/2021,$55.7305,2077618,$55.6447,$56.0737,$55.4827
09/07/2021,$55.9498,3143804,$56.6837,$56.8352,$55.7591
09/03/2021,$57.1126,1657190,$57.4653,$57.5598,$56.8838
09/02/2021,$57.4748,1359385,$57.2556,$57.5028,$57.0697
09/01/2021,$57.0363,1378563,$57.3699,$57.4033,$56.5502
08/31/2021,$57.2746,2679182,$56.5407,$57.4462,$56.5121
